V17to0,V12to13,V1to3,V2to3,V16to4,V2to15,V0to2,V18to19,V8to4,V0to19,V1to16,V14to15,V4to6,V8to8,V1to12,V8to6,V16to17,V3to20,V4to17,V10to11,V17to18,V12to14,V3to9,V0to10,V7to8,V0to20,V15to16,V5to6,V11to12,V0to3,V0to5,V2to20,V8to5,V1to2,V3to18,V1to15,V8to9,V2to8,V9to10,V1to13
null,null,103,null,null,39,null,121,null,65,null,null,null,61,null,null,null,174,null,144,135,198,null,93,170,196,null,null,null,null,null,102,null,null,4,180,131,123,189,121
113,null,null,null,null,null,null,null,37,null,null,175,null,null,90,null,null,null,null,null,null,null,null,null,190,null,30,null,null,null,null,169,null,null,181,null,null,null,23,null
null,null,34,156,152,null,67,29,129,null,20,null,null,null,null,null,null,null,108,null,null,null,null,null,188,null,194,null,null,null,32,null,134,61,null,4,5,null,null,null
null,158,null,137,null,142,138,131,null,null,null,null,53,null,null,null,null,54,null,null,null,2,null,175,null,null,null,188,null,45,51,null,null,104,130,null,85,null,108,4
null,72,null,null,null,124,null,null,null,null,null,null,null,null,23,null,null,null,null,null,null,null,null,null,null,87,null,82,null,54,50,null,75,null,null,null,141,150,null,null
109,189,null,143,null,168,null,null,null,28,73,193,null,72,119,191,null,19,93,132,188,44,null,null,null,182,null,null,null,null,48,null,119,53,null,56,null,null,87,null
44,null,null,null,null,null,null,null,null,null,null,134,192,null,117,null,null,null,null,null,null,null,128,108,null,28,null,null,null,null,null,3,null,26,null,null,103,null,null,101
null,null,153,null,45,null,57,null,1,168,null,null,null,130,null,174,166,39,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41,null,13,null,null,55,null
164,67,113,93,null,null,170,null,null,145,85,null,null,null,null,null,177,115,19,null,null,null,41,102,null,null,null,195,null,26,17,null,187,26,157,null,100,null,null,null
null,null,62,null,166,null,162,14,126,149,179,78,null,13,188,null,null,null,null,40,124,null,6,180,83,null,18,null,72,null,null,167,null,11,null,null,null,null,null,146
173,null,85,null,150,null,100,111,null,null,null,79,null,null,113,null,null,null,17,null,null,null,null,null,null,128,null,171,null,null,196,null,null,99,76,null,null,null,98,null
null,null,76,null,null,null,null,null,85,null,52,165,null,null,null,null,null,197,171,null,null,76,162,null,182,null,161,null,null,93,null,null,147,121,73,null,null,null,null,95
null,null,null,null,null,null,null,null,82,30,156,null,85,null,96,184,null,null,119,null,null,null,null,68,null,null,5,null,null,null,47,96,140,null,null,null,114,null,35,null
null,null,null,null,null,null,null,147,null,130,null,null,null,null,195,86,null,null,null,106,null,null,32,null,59,193,null,182,136,30,null,17,null,null,null,null,70,null,null,null
null,179,98,null,96,null,79,76,115,null,56,68,null,41,null,null,135,null,26,151,112,null,null,null,null,192,60,null,null,null,null,38,null,null,null,46,null,178,null,null
null,157,184,null,null,119,null,34,null,null,null,91,null,92,null,null,81,null,null,134,null,19,null,null,null,null,82,null,31,148,111,101,null,null,null,null,null,104,129,null
83,null,null,null,120,36,null,124,194,null,null,110,null,43,null,null,null,null,null,121,null,192,null,140,null,null,110,null,null,null,null,null,null,123,null,null,65,null,null,93
76,36,33,null,131,null,83,104,null,null,null,null,null,null,null,186,null,null,103,125,183,null,99,null,97,null,null,115,39,null,4,null,22,null,null,7,null,null,null,null
127,122,null,null,null,39,null,null,null,1,null,23,163,186,null,null,107,83,null,null,null,null,null,185,null,null,125,128,null,95,128,null,null,null,null,1,null,105,null,null
70,null,null,null,58,null,null,85,null,null,191,74,null,null,null,19,null,null,null,171,165,94,null,null,null,166,null,165,11,null,185,null,130,38,null,16,null,null,null,null
99,null,171,null,null,null,null,133,null,null,null,null,null,null,null,170,null,null,148,153,null,163,null,null,49,35,45,null,128,null,null,20,70,166,65,null,108,61,null,null
29,null,null,138,null,null,null,null,null,null,null,36,null,143,null,null,null,null,null,null,80,null,91,null,null,null,106,null,null,null,141,null,null,null,172,null,null,41,null,null
null,null,null,61,null,null,null,null,135,4,null,null,54,null,null,null,42,null,99,41,null,194,171,null,156,null,119,110,null,null,null,79,null,null,null,null,18,null,null,null
34,116,null,null,51,null,179,null,null,null,null,null,null,null,null,95,null,null,61,null,3,null,119,137,null,null,null,null,null,null,null,138,85,null,null,75,19,null,null,null
null,null,null,null,68,null,null,56,182,null,null,null,124,null,57,null,86,171,null,null,37,null,null,76,null,null,null,137,null,10,null,null,null,null,null,170,null,105,null,null
null,null,null,null,null,null,null,138,null,null,null,null,null,null,null,56,null,59,124,null,null,62,32,168,192,38,null,null,86,44,157,null,null,117,63,null,193,null,17,107
null,null,null,4,158,143,2,null,86,null,null,163,null,null,28,null,null,null,null,null,null,null,132,null,null,null,145,null,null,169,153,null,48,null,null,146,null,null,5,116
82,115,52,136,null,null,56,null,null,null,53,43,null,75,null,null,77,null,164,1,null,null,9,46,null,null,null,null,null,108,null,199,null,null,null,null,null,null,null,null
null,196,137,null,null,24,148,null,null,null,17,null,164,null,null,null,null,null,null,null,90,null,null,null,10,null,191,null,145,null,null,null,null,null,197,79,null,21,null,66
null,146,null,null,48,83,null,null,null,29,null,1,188,null,null,144,null,64,null,29,null,null,null,34,null,174,null,161,null,62,null,147,null,137,null,null,null,null,null,106
178,8,189,null,null,null,null,null,null,89,null,null,null,31,null,121,null,null,60,103,null,null,null,null,null,18,105,null,24,null,7,null,117,null,99,133,109,null,null,111
null,null,null,null,96,33,null,null,5,181,null,null,null,null,null,153,106,null,null,null,null,null,null,null,null,null,null,181,30,42,84,null,null,16,70,165,null,null,9,137
null,null,44,null,146,null,106,null,null,null,152,null,null,null,null,null,188,null,114,104,null,null,161,null,null,null,null,null,null,52,17,null,162,null,null,null,null,null,null,140
null,null,28,null,44,80,121,null,null,103,null,99,null,141,159,null,null,78,32,101,34,null,null,null,null,116,193,null,null,null,null,144,null,null,198,98,165,null,60,169
null,null,null,141,25,null,161,null,null,111,193,null,40,null,21,147,null,68,105,46,null,null,null,null,null,43,null,92,38,null,46,33,null,82,null,null,null,null,null,183
26,168,null,null,91,142,193,null,144,null,null,null,null,null,null,null,null,null,98,null,112,null,null,null,104,null,33,null,null,90,null,156,null,null,125,null,105,175,26,null
null,113,null,null,154,174,13,null,185,null,null,57,40,18,11,null,null,null,null,null,186,56,null,165,164,null,91,104,null,null,null,12,null,59,31,146,137,43,10,167
3,null,null,66,null,null,114,98,null,161,null,null,69,null,null,115,71,null,29,null,189,95,null,null,5,null,123,null,null,137,null,23,56,null,null,152,null,127,null,null
28,null,null,147,99,null,null,null,null,null,9,null,171,132,null,120,147,null,null,null,null,null,167,null,null,null,38,null,null,26,null,141,142,66,171,24,162,null,null,48
null,null,null,null,null,null,null,126,null,69,185,null,154,null,null,null,195,null,null,null,null,112,null,null,null,null,null,null,null,null,null,70,35,null,null,null,174,112,null,null
26,160,null,114,35,null,null,162,null,null,null,null,127,70,null,null,100,183,null,null,null,37,null,null,null,null,null,null,null,null,null,null,81,null,null,120,null,null,null,187
null,null,null,118,190,null,null,null,178,154,104,null,null,null,21,93,31,null,120,null,85,45,16,null,null,null,null,null,null,23,null,null,166,null,null,36,null,139,13,null
151,null,null,null,null,null,null,null,null,192,null,195,null,143,null,null,null,null,null,null,null,198,17,null,47,44,null,null,43,null,null,null,null,162,139,156,null,57,null,198
null,null,null,121,122,62,null,null,189,98,null,40,null,96,null,36,null,null,null,99,128,141,null,null,null,null,16,null,180,null,54,null,73,null,67,null,null,109,null,38
null,133,null,null,null,null,27,140,104,null,null,188,144,null,null,6,83,44,null,71,null,19,197,null,101,null,24,null,null,null,16,null,178,null,40,null,null,null,null,null
null,null,null,null,62,130,null,null,85,null,26,null,null,null,null,null,1,null,null,null,108,null,null,174,null,null,null,null,61,null,null,null,61,null,null,null,69,null,null,null
null,null,null,null,null,null,null,194,null,null,null,null,99,null,null,null,null,null,null,null,null,null,null,107,1,null,null,107,null,37,44,null,null,null,164,null,null,null,36,null
153,151,null,null,62,null,null,null,52,46,136,null,75,172,null,86,null,124,null,null,null,null,null,97,null,null,165,37,157,143,103,156,null,46,null,46,null,null,85,null
null,null,null,185,null,36,143,179,100,null,76,null,null,null,null,null,33,null,null,84,null,null,65,null,null,null,145,80,null,null,null,183,151,95,45,null,null,72,4,60
139,45,null,54,50,null,null,null,null,30,6,null,null,null,null,null,null,null,null,null,129,40,108,null,null,null,null,138,null,null,null,null,null,195,null,null,197,null,47,null
null,null,null,30,null,null,null,62,null,null,null,null,null,null,null,43,null,null,null,null,null,null,53,157,null,66,null,null,null,null,131,117,null,null,null,114,129,null,41,96
139,158,null,null,null,72,null,143,177,104,null,null,null,null,null,null,150,28,null,null,null,125,91,null,null,null,null,null,138,null,102,8,null,null,129,null,null,null,null,188
104,null,134,null,null,null,null,null,153,42,null,145,44,151,null,null,null,186,null,null,66,null,null,37,103,171,null,null,null,82,null,23,null,null,154,null,null,null,null,null
null,null,null,12,null,null,null,null,53,57,null,null,100,164,8,164,null,189,null,null,132,null,46,null,127,60,124,null,null,null,77,187,29,98,82,150,null,96,null,null
null,null,null,null,null,null,null,156,44,null,null,150,78,null,null,null,null,37,null,null,null,null,null,69,106,null,null,null,88,null,null,null,null,null,null,null,null,119,null,null
13,null,87,78,43,null,null,null,null,null,null,null,null,71,null,94,null,null,null,55,24,148,null,null,null,null,null,null,3,null,null,132,131,103,168,167,null,null,137,78
170,null,8,null,null,null,null,167,64,null,25,null,null,3,null,null,null,111,null,28,186,null,147,null,51,99,8,null,null,88,84,null,63,null,null,null,null,null,58,null
null,null,null,null,null,null,null,null,null,136,null,null,9,null,null,null,48,147,null,51,null,null,null,145,null,52,42,39,null,127,25,null,28,null,84,195,null,3,96,null
null,7,null,null,158,null,67,null,null,null,null,null,null,null,113,null,null,null,null,null,null,null,null,197,65,68,null,null,null,31,null,null,null,48,null,14,null,null,121,42
null,35,63,null,185,null,31,null,null,null,null,11,null,2,null,null,183,null,null,null,164,169,null,131,null,105,43,null,78,182,174,null,null,null,null,null,null,122,118,null
null,null,null,null,18,null,null,null,null,174,null,85,null,129,null,177,null,186,92,132,null,null,142,null,null,null,null,61,null,null,114,67,100,null,134,null,null,162,null,null
42,null,121,146,10,null,72,179,118,1,null,null,20,99,null,null,null,null,188,10,null,null,null,null,null,null,null,null,114,null,130,null,null,null,null,null,null,null,null,29
null,null,null,null,null,null,191,null,90,91,167,null,169,null,148,null,null,80,96,null,null,null,null,null,null,162,null,111,null,null,null,null,197,null,102,132,null,null,null,null
null,null,null,138,null,null,null,162,null,null,null,null,null,null,77,113,null,null,null,136,185,null,189,null,null,null,71,93,30,null,139,null,39,null,70,6,null,null,71,null
null,null,64,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,2,7,130,null,null,null,null,17,null,56,28,null,null,151,103,null,155,null,null,195,null
129,null,null,null,102,null,92,null,106,169,null,null,null,null,null,139,null,null,52,9,null,180,163,null,null,9,117,47,null,80,null,null,102,164,null,null,null,20,null,null
109,50,null,61,null,null,100,79,null,null,null,null,null,9,null,null,null,131,null,null,null,null,null,21,null,null,188,null,18,null,142,null,null,113,null,199,null,25,null,null
null,null,null,149,99,null,null,12,null,158,null,124,71,123,null,79,null,null,1,null,null,null,null,92,50,null,null,null,138,null,null,null,null,null,null,118,null,62,null,84
122,null,null,195,null,188,164,145,161,null,null,125,170,null,181,null,33,62,null,null,null,null,null,186,null,148,null,62,17,null,178,80,null,118,75,177,171,3,37,null
null,null,null,null,null,39,null,null,null,null,null,178,null,null,null,null,null,null,73,52,105,null,null,null,null,null,null,null,50,165,86,5,42,62,110,23,null,null,null,null
null,null,66,136,null,null,null,null,null,12,null,null,163,null,null,null,null,126,13,160,11,82,null,128,null,164,null,159,132,null,null,null,123,null,null,null,null,null,null,null
73,null,null,null,null,44,null,167,null,null,31,30,null,null,null,null,null,28,null,null,null,null,null,128,18,null,56,32,null,18,null,120,null,null,180,10,null,183,30,null
null,null,9,null,null,103,76,null,null,null,34,117,null,null,null,null,null,54,74,null,198,null,93,null,null,null,null,null,48,null,48,null,null,40,null,69,null,49,82,98
null,36,null,1,null,157,null,45,187,null,null,194,null,187,null,null,null,null,null,127,null,null,null,null,null,null,null,null,97,null,65,null,null,null,null,null,null,null,113,192
null,null,null,null,null,null,17,37,136,26,74,91,71,null,71,null,null,null,null,34,127,175,62,127,96,53,34,75,null,118,12,null,null,null,null,172,49,null,null,null
119,null,null,38,null,null,null,null,122,null,4,null,168,73,5,196,null,null,91,null,null,173,null,5,null,null,null,null,17,null,91,null,null,25,null,null,1,47,102,null
null,null,null,178,null,null,143,113,null,121,133,119,null,175,null,null,38,85,null,null,null,143,null,null,174,null,173,null,171,106,null,9,null,null,177,null,118,null,null,140
98,null,null,182,null,84,183,null,null,null,7,null,null,165,170,22,null,null,null,103,null,29,186,null,null,null,122,null,null,null,30,null,29,83,96,null,null,178,null,4
107,null,102,171,null,1,2,null,113,null,null,null,173,null,59,58,null,135,196,83,null,null,19,48,null,null,null,null,null,24,190,94,null,null,null,null,null,null,109,171
181,18,14,null,142,null,null,null,null,54,63,null,103,178,null,null,null,null,null,null,68,2,null,null,null,null,39,46,null,null,44,null,null,null,136,null,null,168,null,null
null,null,null,31,90,119,null,null,6,124,124,null,120,null,162,null,178,6,null,null,null,null,198,null,null,null,null,68,null,null,43,123,null,null,null,180,null,null,null,null
76,63,null,null,111,null,null,1,null,48,null,null,null,null,null,163,26,138,null,null,148,null,null,null,null,null,66,174,null,null,4,113,null,null,169,48,null,null,191,118
null,108,190,null,null,null,null,null,180,null,null,null,null,95,null,141,152,null,183,1,null,68,null,null,null,null,null,null,1,18,188,null,null,null,null,78,null,null,null,109
161,null,null,null,77,123,null,130,null,64,null,6,null,null,79,null,null,null,140,79,null,null,null,24,null,175,1,null,null,74,117,null,109,15,null,null,null,null,null,151
21,61,null,null,157,null,null,null,11,81,57,47,null,null,22,null,null,null,157,27,162,null,null,161,null,52,null,49,null,null,null,null,137,184,null,139,54,null,null,null
196,null,null,null,47,null,null,null,93,20,null,null,null,137,null,null,null,117,182,151,null,null,181,null,null,175,null,9,null,null,null,42,null,null,60,null,141,41,null,1
null,38,12,104,null,182,null,32,122,null,null,51,24,null,null,null,null,47,null,null,177,null,null,null,null,126,null,null,139,19,136,67,null,null,76,null,null,193,null,183
62,153,null,179,null,152,22,186,null,null,null,179,60,132,null,125,46,143,null,144,null,null,null,70,null,null,null,40,176,null,null,null,160,null,192,133,null,null,99,null
88,73,null,184,null,null,null,null,141,null,107,118,null,131,null,null,null,30,21,null,null,null,108,45,null,null,42,null,null,null,null,null,100,null,176,null,null,164,null,80
null,null,136,null,128,null,117,null,null,null,80,27,193,null,118,null,93,null,24,null,125,124,null,null,null,188,64,null,null,57,69,null,46,97,null,24,50,null,3,null
null,null,62,null,null,120,null,97,null,165,null,null,38,150,null,22,null,31,142,198,18,null,null,97,124,null,null,null,107,18,180,null,null,26,null,106,null,null,99,null
null,57,86,null,89,null,180,173,null,null,null,5,30,null,null,null,null,68,48,138,null,null,72,null,62,24,null,158,null,2,null,null,null,null,null,null,99,130,30,null
140,null,null,null,null,null,null,null,52,69,null,149,173,null,67,null,46,null,null,136,null,12,null,null,null,null,89,null,null,19,null,null,21,92,null,2,null,null,null,null
41,null,null,null,null,null,13,null,null,52,null,null,null,138,null,null,null,151,null,null,null,null,128,null,152,50,54,71,null,22,43,null,null,62,39,null,158,null,16,null
117,136,null,null,null,97,70,null,80,193,157,null,181,null,null,null,156,null,125,null,null,null,198,null,117,128,13,179,null,184,null,17,null,null,null,106,null,66,null,null
145,null,null,null,null,null,131,null,null,191,null,12,166,42,191,null,null,null,null,null,56,null,null,33,null,188,136,null,null,138,142,118,8,80,null,null,null,144,null,86
null,93,null,167,115,195,121,null,null,null,97,null,57,156,null,null,28,49,75,58,null,null,null,106,79,120,49,171,null,null,null,null,197,null,90,70,37,null,null,null
null,null,96,null,null,106,84,82,116,null,null,173,null,82,12,6,null,null,null,55,95,119,null,null,null,null,null,null,null,87,112,null,null,null,null,null,null,null,72,151
null,77,null,9,null,null,null,null,63,100,null,null,122,null,null,50,72,53,null,null,null,61,160,null,99,1,133,null,null,null,118,165,null,43,81,null,140,null,49,37
null,null,56,null,null,5,10,null,160,null,null,176,173,155,null,null,null,157,null,null,149,97,90,null,196,null,null,null,null,84,null,null,null,53,null,33,null,null,null,null
